tilsynsobjektid;orgnummer;navn;adrlinje1;adrlinje2;postnr;poststed;tilsynid;sakref;status;dato;total_karakter;tilsynsbesoektype;tema1_no;tema1_nn;karakter1;tema2_no;tema2_nn;karakter2;tema3_no;tema3_nn;karakter3;tema4_no;tema4_nn;karakter4
Z1006050041374421189FUWUS_Tilsynsobjekt;883961102;Jotka Fjellstue Steinar Kristensen;Tverrelvdalsveien 49;;9517;ALTA;Z1604151003364230239ZRVFG_TilsynAvtale;2016/83307;1;13042016;1;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041378181126DYXMP_Tilsynsobjekt;982248205;Karens Rorbuer A/S;Komagfjord;;9536;KORSFJORDEN;Z1606300801117410240FOBAI_TilsynAvtale;2016/143476;1;29062016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041379451189NLBOX_Tilsynsobjekt;986077820;Kautokeino Villmarkssenter AS;Altaluodda;;9520;KAUTOKEINO;Z1603171559087730239CUAPG_TilsynAvtale;2016/59981;1;17032016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041379451189NLBOX_Tilsynsobjekt;986077820;Kautokeino Villmarkssenter AS;Altaluodda;;9520;KAUTOKEINO;Z1604210947323030239UDKFS_TilsynAvtale;2016/59981;1;21042016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041395221190SBTPK_Tilsynsobjekt;971898100;Masi Turistsenter;;;9525;MAZE;Z1604281602056680239LLAQV_TilsynAvtale;2016/97615;0;28042016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;2
Z1006050041395221190SBTPK_Tilsynsobjekt;971898100;Masi Turistsenter;;;9525;MAZE;Z1606030948253830240NVRAO_TilsynAvtale;2016/97615;0;03062016;2;1;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;2
Z1006050041395221190SBTPK_Tilsynsobjekt;971898100;Masi Turistsenter;;;9525;MAZE;Z1607081236413440239DLKIG_TilsynAvtale;2016/97615;0;07072016;2;1;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041437041189SDVJJ_Tilsynsobjekt;971692499;Gargia Fjellstue ;Gargiaveien 96;;9518;ALTA;Z1602171202042020239SYPBK_TilsynAvtale;2016/36079;1;17022016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041437041189SDVJJ_Tilsynsobjekt;971692499;Gargia Fjellstue ;Gargiaveien 96;;9518;ALTA;Z1604251048266390239ZVJSN_TilsynAvtale;2016/36079;1;25042016;0;1;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050041483221127JZWIJ_Tilsynsobjekt;994595741;Peppes Pizza Alta ;ALTA STORSENTER;;9515;ALTA;Z1602181340220250240CHQCR_TilsynAvtale;2016/37315;1;18022016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
